0	0	0
0	1	26
0	2	4
0	75	1
100	0	0
100	1	23
100	2	5
100	4	1
100	73	1
200	0	0
200	1	17
200	2	1
200	3	2
200	4	1
200	71	1
300	0	0
300	1	19
300	2	4
300	71	1
400	0	0
400	1	26
400	2	6
400	3	2
400	4	1
400	5	1
400	84	1
500	0	0
500	1	28
500	2	3
500	3	2
500	4	1
500	70	1
600	0	0
600	1	26
600	2	5
600	85	1
700	0	0
700	1	20
700	2	3
700	3	1
700	71	1
800	0	0
800	1	31
800	2	5
800	3	1
800	4	1
800	9	1
800	85	1
900	0	0
900	1	24
900	2	6
900	3	2
900	74	1
1000	0	0
1000	1	37
1000	2	3
1000	5	1
1000	71	1
1100	0	0
1100	1	25
1100	2	1
1100	3	2
1100	9	1
1100	75	1
1200	0	0
1200	1	21
1200	2	2
1200	3	1
1200	4	1
1200	79	1
1300	0	0
1300	1	19
1300	2	6
1300	3	1
1300	80	1
1400	0	0
1400	1	20
1400	2	1
1400	8	1
1400	71	1
1500	0	0
1500	1	15
1500	2	6
1500	3	2
1500	4	1
1500	71	1
1600	0	0
1600	1	11
1600	2	7
1600	3	1
1600	4	1
1600	70	1
1700	0	0
1700	1	19
1700	2	5
1700	3	1
1700	4	1
1700	7	1
1700	71	1
1800	0	0
1800	1	19
1800	2	5
1800	3	1
1800	4	1
1800	7	1
1800	71	1
1900	0	0
1900	1	27
1900	2	2
1900	3	1
1900	4	1
1900	70	1
2000	0	0
2000	1	27
2000	2	2
2000	3	1
2000	4	1
2000	70	1
2100	0	0
2100	1	20
2100	2	4
2100	3	3
2100	73	1
2200	0	0
2200	1	20
2200	2	2
2200	4	1
2200	75	1
2300	0	0
2300	1	21
2300	2	8
2300	4	1
2300	6	1
2300	78	1
2400	0	0
2400	1	21
2400	2	4
2400	3	1
2400	4	1
2400	9	1
2400	70	1
2500	0	0
2500	1	25
2500	2	2
2500	3	1
2500	4	1
2500	5	1
2500	77	1
2600	0	0
2600	1	14
2600	2	9
2600	3	1
2600	6	1
2600	22	1
2600	81	1
2700	0	0
2700	1	29
2700	2	6
2700	3	1
2700	4	2
2700	7	1
2700	71	1
2800	0	0
2800	1	18
2800	2	7
2800	3	2
2800	70	1
2900	0	0
2900	1	21
2900	2	3
2900	79	1
3000	0	0
3000	1	20
3000	4	1
3000	89	1
3100	0	0
3100	1	28
3100	2	2
3100	3	3
3100	73	1
3200	0	0
3200	1	24
3200	2	4
3200	3	1
3200	4	1
3200	80	1
3300	0	0
3300	1	20
3300	2	3
3300	3	1
3300	80	1
3400	0	0
3400	1	30
3400	2	3
3400	3	2
3400	9	1
3400	70	1
3500	0	0
3500	1	18
3500	2	4
3500	9	1
3500	79	1
3600	0	0
3600	1	22
3600	2	2
3600	3	1
3600	74	1
3700	0	0
3700	1	21
3700	2	5
3700	3	1
3700	71	1
3800	0	0
3800	1	25
3800	2	3
3800	4	1
3800	84	1
3900	0	0
3900	1	22
3900	2	6
3900	3	2
3900	5	1
3900	78	1
4000	0	0
4000	1	18
4000	2	1
4000	3	3
4000	80	1
4100	0	0
4100	1	15
4100	2	3
4100	3	1
4100	74	1
4200	0	0
4200	1	25
4200	2	3
4200	3	1
4200	7	1
4200	83	1
4300	0	0
4300	1	22
4300	2	5
4300	80	1
4400	0	0
4400	1	23
4400	2	2
4400	90	1
4500	0	0
4500	1	30
4500	2	4
4500	4	4
4500	6	1
4500	88	1
4600	0	0
4600	1	34
4600	2	5
4600	3	1
4600	71	1
4700	0	0
4700	1	24
4700	2	3
4700	3	2
4700	83	1
4800	0	0
4800	1	26
4800	2	3
4800	3	3
4800	4	1
4800	70	1
4900	0	0
4900	1	24
4900	2	2
4900	72	1
5000	0	0
5000	1	32
5000	2	3
5000	3	1
5000	75	1
5100	0	0
5100	1	24
5100	2	1
5100	72	1
5200	0	0
5200	1	21
5200	2	7
5200	3	1
5200	15	1
5200	72	1
5300	0	0
5300	1	18
5300	2	4
5300	7	1
5300	38	1
5300	72	1
5400	0	0
5400	1	24
5400	2	2
5400	90	1
5500	0	0
5500	1	25
